market,avg_funding_rate_pct,avg_oracle_price,avg_open_interest,hour
ETH-PERP,0.000102808945007499554000,1508.5010781473043478,871.4002695652173920,2022-08-27 00:00:00
ETH-PERP,0.00546270019721714651,1519.2758637636607143,944.4776785714285720,2022-08-26 23:00:00
ETH-PERP,0.00349104384465489659,1553.3674317026724129,930.0457586206896550,2022-08-26 22:00:00
ETH-PERP,-0.000045005817842595921000,1554.5563234889655172,723.8981206896551730,2022-08-26 21:00:00
ETH-PERP,0.00051246878039293093,1561.4182800940000000,716.6620347826086960,2022-08-26 20:00:00
ETH-PERP,-0.00023168454980710608,1558.5593353317543860,711.3535614035087720,2022-08-26 19:00:00
ETH-PERP,0.00133720425467616865,1553.4545764364601770,709.0435663716814160,2022-08-26 18:00:00
ETH-PERP,0.01320586021177840526,1577.0876394908695652,702.0355304347826090,2022-08-26 17:00:00
ETH-PERP,-0.00221027867273476418,1581.0840474391891892,790.6875585585585590,2022-08-26 16:00:00
ETH-PERP,-0.00616448978570627571,1601.5299950394642857,837.1050803571428570,2022-08-26 15:00:00
ETH-PERP,-0.00329903801663594002,1660.6716248455357143,801.1818214285714290,2022-08-26 14:00:00
ETH-PERP,-0.00247967319446265333,1687.6537154658620681,857.7664051724137930,2022-08-26 13:00:00
ETH-PERP,-0.00254538792556328378,1646.4897590062068957,797.1982068965517240,2022-08-26 12:00:00
ETH-PERP,-0.00248789473620987327,1632.1230267036752137,800.0483162393162400,2022-08-26 11:00:00
ETH-PERP,-0.00245621087178522066,1655.1746225168965517,812.3063793103448280,2022-08-26 10:00:00
ETH-PERP,-0.00276706196624638681,1661.1294862200854701,812.1757264957264960,2022-08-26 09:00:00
ETH-PERP,-0.00299012543045650525,1658.9609303769827586,812.3003017241379310,2022-08-26 08:00:00
ETH-PERP,-0.00273370540764056370,1652.7389723761538453,816.7587350427350430,2022-08-26 07:00:00
ETH-PERP,-0.00242898016885487263,1662.1949224618103440,804.6550948275862070,2022-08-26 06:00:00
ETH-PERP,-0.00312493279385355724,1669.8116939421551716,812.8056724137931040,2022-08-26 05:00:00
ETH-PERP,-0.00190156960880299787,1683.3967332592307692,833.2861367521367520,2022-08-26 04:00:00
ETH-PERP,-0.00269311790713073063,1688.3588209479310345,839.9732500000000000,2022-08-26 03:00:00
ETH-PERP,-0.00200341125248342515,1685.1130137405128205,847.2862820512820520,2022-08-26 02:00:00
ETH-PERP,-0.00238720796772598799,1680.9347892142241371,863.3992758620689660,2022-08-26 01:00:00
ETH-PERP,-0.00368036608839832660,1684.6818533216379310,850.0702241379310350,2022-08-26 00:00:00
ETH-PERP,-0.00438166405262871246,1693.8851862570940171,846.9947606837606840,2022-08-25 23:00:00
ETH-PERP,-0.00544335152235684194,1699.1233639662931026,845.0636810344827590,2022-08-25 22:00:00
ETH-PERP,-0.00392909712218303668,1704.0273134264102556,845.0560000000000000,2022-08-25 21:00:00
ETH-PERP,-0.00489022974223049070,1705.8126683343103448,845.0560000000000000,2022-08-25 20:00:00
ETH-PERP,-0.00643387437645733293,1706.4778324542735043,843.1735897435897440,2022-08-25 19:00:00
ETH-PERP,-0.00450364328655741701,1702.8629398784482759,842.3961379310344830,2022-08-25 18:00:00
ETH-PERP,-0.00476070644020348705,1703.9534240631034466,839.7642413793103450,2022-08-25 17:00:00
ETH-PERP,-0.00268586643663819727,1698.5193739574358974,841.8741623931623930,2022-08-25 16:00:00
ETH-PERP,-0.00279159178453651381,1703.4464572908620690,838.4234224137931040,2022-08-25 15:00:00
ETH-PERP,-0.00214331656160375875,1712.5069556923275862,836.2643965517241380,2022-08-25 14:00:00
ETH-PERP,-0.00267046620002179246,1701.8863428789743590,831.2567264957264960,2022-08-25 13:00:00
ETH-PERP,-0.00281641713127421081,1706.6767468611206888,820.4498362068965520,2022-08-25 12:00:00
ETH-PERP,-0.00237747147506275531,1704.5654496288034179,829.5192564102564110,2022-08-25 11:00:00
ETH-PERP,-0.00195062844439008517,1701.9506595193965517,825.1351724137931040,2022-08-25 10:00:00
ETH-PERP,-0.00192475325201433322,1704.2154871873275853,821.1672241379310350,2022-08-25 09:00:00
ETH-PERP,-0.00228393848052434605,1709.5408484748717949,821.0666495726495730,2022-08-25 08:00:00
ETH-PERP,-0.00187543512570985320,1704.0718042162931034,841.4796379310344830,2022-08-25 07:00:00
ETH-PERP,-0.00222616988609771256,1694.3209999645299145,899.1411111111111110,2022-08-25 06:00:00
ETH-PERP,-0.00159752508739055347,1677.1730517500000000,904.1127586206896550,2022-08-25 05:00:00
ETH-PERP,-0.00445343119821089556,1675.0090162000854701,960.8974188034188040,2022-08-25 04:00:00
ETH-PERP,-0.00465521129715165350,1674.1925197373275853,981.0270000000000000,2022-08-25 03:00:00
ETH-PERP,-0.00474386025915243543,1674.5965780929914521,981.0270000000000000,2022-08-25 02:00:00
ETH-PERP,-0.00495049647938123344,1674.9976963804310319,980.8968275862068970,2022-08-25 01:00:00
ETH-PERP,-0.00448954654618667000,1664.0224433493103448,970.4292672413793110,2022-08-25 00:00:00
ETH-PERP,-0.00313815039370307068,1660.2292774601709402,858.2445299145299150,2022-08-24 23:00:00
ETH-PERP,-0.00127938422714301927,1664.9512986835344828,895.3901034482758620,2022-08-24 22:00:00
ETH-PERP,0.00071619789564248311,1680.0475201991452991,937.2573162393162400,2022-08-24 21:00:00
ETH-PERP,0.00052598230383352801,1682.1961576297413793,938.7017844827586210,2022-08-24 20:00:00
ETH-PERP,0.00030898287499278162,1680.4780299268376068,938.8437350427350430,2022-08-24 19:00:00
ETH-PERP,0.00047767259640225954,1670.6953649962931034,933.3145517241379310,2022-08-24 18:00:00
ETH-PERP,0.00074091973002504269,1671.9410920642241379,923.9021293103448280,2022-08-24 17:00:00
ETH-PERP,0.00024994137682985576,1680.3422800615384615,914.5436068376068380,2022-08-24 16:00:00
